--------- beginning of main
--------- beginning of system
08-05 12:34:55.707  4395 24600 D CustomInterceptor: Last-Modified Wed, 05 Aug 2020 10:11:50 GMT
08-05 12:34:55.707  4395 24600 D CustomInterceptor: Server AmazonS3
08-05 12:34:55.707  4395 24600 D CustomInterceptor: x-amz-id-2 94Rwk5ojWxCqHXBHdbTnIfMwWvr8BoPO9FIAVluZq4vB828m+Cmx0ha8bhtO/NPhl223fsMKZj0=
08-05 12:34:55.707  4395 24600 D CustomInterceptor: x-amz-request-id 0EA63B351126C2AD
08-05 12:34:55.707  4395 24600 D CustomInterceptor: CACHEABLE true
08-05 12:34:55.707  4395 24600 D CustomInterceptor: REQ https://s3.amazonaws.com/icons.newsblur.com/5762506.png
08-05 12:34:55.707  4395 24600 D CustomInterceptor: REQ_SERV_BY net
08-05 12:34:55.707  4395 24600 D CustomInterceptor: PREFLIB Adding response to lrucache - https://s3.amazonaws.com/icons.newsblur.com/5762506.png
08-05 12:34:55.730  4395 24596 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-05 12:34:55.739  4395 24600 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-05 12:35:05.250  4395 24598 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/rss_feeds/icon/0
08-05 12:35:05.251  4395 24598 D CustomInterceptor: HEADER REQUEST
08-05 12:35:05.251  4395 24598 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 12:35:05.251  4395 24598 D CustomInterceptor: CACHED STATS: size = '8', maxSize = '100', hitCount = '8', createCount = '0', putCount = '8', evictionCount = '0', missCount = '11', toString = 'LruCache[maxSize=100,hits=8,misses=11,hitRate=42%]', 
08-05 12:35:05.251  4395 24598 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 12:35:05.269  4395 24596 D CustomInterceptor: NETWORK-PROVIDER https://www.gravatar.com/avatar/f5934485a0863578733c447016505547
08-05 12:35:05.269  4395 24600 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/rss_feeds/icon/0
08-05 12:35:05.269  4395 24594 D CustomInterceptor: NETWORK-PROVIDER https://www.gravatar.com/avatar/f5934485a0863578733c447016505547
08-05 12:35:05.271  4395 24600 D CustomInterceptor: HEADER REQUEST
08-05 12:35:05.271  4395 24596 D CustomInterceptor: HEADER REQUEST
08-05 12:35:05.271  4395 24600 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 12:35:05.271  4395 24596 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 12:35:05.271  4395 24600 D CustomInterceptor: CACHED STATS: size = '8', maxSize = '100', hitCount = '8', createCount = '0', putCount = '8', evictionCount = '0', missCount = '12', toString = 'LruCache[maxSize=100,hits=8,misses=12,hitRate=40%]', 
08-05 12:35:05.271  4395 24596 D CustomInterceptor: CACHED STATS: size = '8', maxSize = '100', hitCount = '8', createCount = '0', putCount = '8', evictionCount = '0', missCount = '12', toString = 'LruCache[maxSize=100,hits=8,misses=12,hitRate=40%]', 
08-05 12:35:05.271  4395 24600 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 12:35:05.271  4395 24596 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 12:35:05.275  4395 24594 D CustomInterceptor: HEADER REQUEST
08-05 12:35:05.275  4395 24594 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 12:35:05.276  4395 24594 D CustomInterceptor: CACHED STATS: size = '8', maxSize = '100', hitCount = '8', createCount = '0', putCount = '8', evictionCount = '0', missCount = '14', toString = 'LruCache[maxSize=100,hits=8,misses=14,hitRate=36%]', 
08-05 12:35:05.276  4395 24594 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-05 12:35:05.288  4395 24595 D CustomInterceptor: NETWORK-PROVIDER https://www.gravatar.com/avatar/f5934485a0863578733c447016505547
08-05 12:35:05.288  4395 24595 D CustomInterceptor: HEADER REQUEST
08-05 12:35:05.288  4395 24595 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-05 12:35:05.289  4395 24595 D CustomInterceptor: CACHED STATS: size = '8', maxSize = '100', hitCount = '8', createCount = '0', putCount = '8', evictionCount = '0', missCount = '15', toString = 'LruCache[maxSize=100,hits=8,misses=15,hitRate=34%]', 
